review_id,rating,review,Clean_Text,label,label_lexicon,lex_score
Ci9DQUlRQUNvZENodHljRjlvT2xsSlFVdFhNWE5ZVHpWc1FTMU9hMGRqWkhnMFRuYxAB,5,"Kami sangat senang menginap di The Alana Jogjakarta dengan pemandangan sempurna langsung ke Gunung Merapi. Bapak Panca Sawahan sangat membantu kami dalam memesan kamar keluarga. Menginap di sini adalah pilihan yang tepat untuk liburan keluarga jangka panjang. Semoga sukses untuk The Alana!Jenis perjalananLiburanGrup perjalananTemanKamar: 5Layanan: 5Lokasi: 5KamarKamarnya luas, bersih, dan nyaman. Pelayanan dan fasilitasnya bagus.Makanan & minumanDi lantai dasar terdapat kedai kopi, minimarket, ATM, dan tempat potong rambut.Sorotan hotelPemandangan yang indah, Tenang, Cocok untuk anak-anak, Harga terbaik",senang inap alana jogjakarta pandang sempurna langsung gunung rapi sawah bantu kamar keluarga pilih libur jangka moga sukses luas bersih nyaman layan fasilitas bagus lantai dasar kedai kopi minimarket potong rambut indah tenang cocok harga,positif,positif,8
Ci9DQUlRQUNvZENodHljRjlvT2w4d1ZEZENla2hoV25wSVVEWndhM2QyZWxBMExWRRAB,5,"Liburan akhr tahun biasa ny kita selalu road trip,kali ini ngunjungi Jogja..kt slalu nyobain bbrp hotel ,dan utk malam ini kt booking di The Alana yogyakarya..baru dtg sudah d layani dg baik,hrs ny kamar kita deluxe dan pas bgt kamar kt d upgrade k family room💕..nyaman sekali kamar ny ,luas, dr fungsi kamar mandi pun oke..ga ad maslh, smua rapi bersih..
Terimkasih byk untuk Mas Guruh & Mba Tasya👍🏻💕anak” happy bgtJenis perjalananLiburanGrup perjalananKeluargaKamar: 5Layanan: 5Lokasi: 5KamarKamar luass sekali ,Sorotan hotelMewah, Tenang, Cocok untuk anak-anak, Harga terbaik",libur akhr road trip kali ngunjungi jogja slalu nyobain hotel malam booking alana yogyakarya layan kamar deluxe banget upgrade family room nyaman luas fungsi mandi maslh rapi bersih terimkasih happy luass mewah tenang cocok harga,positif,positif,7
Ci9DQUlRQUNvZENodHljRjlvT21GbWNEZHZVbkJvZW1SdFYxQTBOV3hZVlRaSFNWRRAB,5,Kualitas makanan dan hospitality nya bagus dan enak. Mbak Nia sebagai waitrees juga sangat membantu. Saya kebetulan datang sebagai tamu undangan pernikahan.Grup perjalananTemanLayanan: 5Lokasi: 5,kualitas makan hospitality bagus enak waitrees bantu tamu undang nikah,positif,positif,2
Ci9DQUlRQUNvZENodHljRjlvT25wUVkyRnlXSEozZUd4VVRuWXlZMlpMYVcxUFpHYxAB,5,"Hotel dengan pelayanan prima.Jenis perjalananBisnisGrup perjalananTemanKamar: 5Layanan: 5Lokasi: 5KamarRuangan besarSorotan hotelMewah, Pemandangan yang indah, Tenang",hotel layan prima kamar ruang mewah pandang indah tenang,positif,positif,2
Ci9DQUlRQUNvZENodHljRjlvT2xaV1JXSlVVbGxHYlhaUWQxcElZbFpvU1MwNFkwRRAB,5,"Pengalaman menyenangkan selama menginap di hotel ini. Fasilitas kamar istimewa, bersih dan pencahayaan yg cukup. Dan akses menuju hotel mudah dijangkau meskipun agak sedikit masuk (tdk berada di jalur utama).
Sajian menu breakfast sangat beragam dan enak.
Pelayanan staf juga baik.
Terimakasih untuk mbak Asa & Mas Nando yg selalu meyapa kami tiap pagi.Jenis perjalananBisnisGrup perjalananTemanKamar: 5Layanan: 5Lokasi: 4KamarIstimewaAktivitas di sekitarAsriKeamananSavetyArea untuk berjalan kakiRamah pejalan kakiMakanan & minumanEnak & lengkapDetail pentingBest Hotel in JogjakartaSorotan hotelMewah",alam senang inap hotel fasilitas kamar istimewa bersih cahaya akses tuju mudah jangkau masuk jalur utama saji menu breakfast ragam enak layan staf terimakasih nando meyapa pagi asri savety ramah pejal kaki lengkap jogjakarta mewah,positif,positif,2
Ci9DQUlRQUNvZENodHljRjlvT25nMllWVjBiVzlUUzFkelJYbHJSbWhMTnpFM0xWRRAB,5,Pelayanan mantap untuk mba AsaJenis perjalananLiburanGrup perjalananKeluargaKamar: 5Layanan: 5Lokasi: 5KamarLuasAktivitas di sekitarMudahKeamananAmanArea untuk berjalan kakiNyamanMakanan & minumanEnakDetail pentingOkSorotan hotelCocok untuk anak-anak,layan mantap kamar luas mudah aman nyaman enak cocok,positif,positif,3
Ci9DQUlRQUNvZENodHljRjlvT2pVMldrRlBRbmhTUXpZMGEwRTJhSE16WlZOS1dsRRAB,5,"Lepapito keren, suasananya meriah, ada musik live

-fathinKamar: 5Layanan: 5Lokasi: 5",lepapito keren suasana riah musik live,positif,positif,4
Ci9DQUlRQUNvZENodHljRjlvT2tSbk5WZEpNbVEzVlZNd05sUnRSbmQwTlVNMGRXYxAB,5,"Le Papito gokillll, tempatnya asik buat nongkrongg",papito gokil asik nongkrongg,positif,positif,1
Ci9DQUlRQUNvZENodHljRjlvT2tjeU15MUVYM2t3UlhScVlYUTRSR2d5TjBRMkxYYxAB,5,"Le Papito adalah tempat yang sangat nyaman untuk nongkrong & melakukan hal-hal santai bersama teman-teman, sangat direkomendasikan.Kamar: 5Layanan: 5Lokasi: 5",papito nyaman nongkrong laku santai teman rekomendasi,positif,positif,2
Ci9DQUlRQUNvZENodHljRjlvT2tSZk0yMVBYM1pYTmkxaGNGWmtRbWd6UXpCV2JIYxAB,5,bersih dan nyamanKamar: 5Layanan: 5Lokasi: 5,bersih nyaman,positif,positif,1
