review_id,rating,review,Clean_Text,label,label_lexicon,lex_score
Ci9DQUlRQUNvZENodHljRjlvT21obFdYVlNSbkZ3Y0U5Uk9FRmhPVVJGYkhVMmVFRRAB,5,"Saya menginap di sana untuk 2 malam, lokasinya cukup strategis. Tempat parkir dan lobby-nya luas. Saya lupa tipe kamarnya tapi sangat besar seperti apartemen tipe studio. Ada kitchen dengan sink tapi tanpa kompor, lemari baju 6 pintu (berfungsi sebagai partisi antara area dapur/kamar mandi) dengan area tempat tidur), meja makan, dan kamar mandi yang luas.

Bed nyaman, terang karena jendelanya banyak, AC dingin, pemandangan ke arah samping ada kolam renang. Cukup besar juga kolamnya.

Breakfast cukup banyak variasi, rasanya juga lumayan. Pelayanan baik dan ramah.Jenis perjalananLiburanGrup perjalananKeluargaKamar: 5Layanan: 5Lokasi: 5Sorotan hotelHarga terbaik",inap malam lokasi strategis parkir lobby luas lupa tipe kamar apartemen studio kitchen sink kompor lemari baju pintu fungsi partisi area dapur mandi tidur meja makan nyaman terang jendela dingin pandang arah samping kolam renang breakfast variasi lumayan layan ramah harga,positif,positif,4
Ci9DQUlRQUNvZENodHljRjlvT25SSmMxbGlVbGM1Y1haaFl6UldXa1ZPYUZOc1ZGRRAB,5,"Menginap di Grand Mercure benar-benar pengalaman yang menyenangkan. Dari saat check-in, staf sangat ramah dan profesional, membuat suasana terasa hangat dan menyambut. Kamar bersih, luas, dan nyaman dengan fasilitas lengkap, termasuk tempat tidur yang empuk dan kamar mandi modern. Sarapan sangat beragam dengan pilihan menu lokal dan internasional yang lezat. Area kolam renang bersih dan tenang, cocok untuk bersantai. Lokasinya strategis, dekat pusat kota dan mudah dijangkau. Secara keseluruhan, pelayanan, kenyamanan, dan kualitas fasilitas benar-benar sebanding dengan harga. Sangat direkomendasikan untuk liburan keluarga maupun perjalanan bisnis. Pasti akan kembali lagi!Kamar: 5Layanan: 5Lokasi: 5",inap grand mercure alam senang check staf ramah profesional suasana hangat sambut kamar bersih luas nyaman fasilitas lengkap masuk tidur empuk mandi modern sarapan ragam pilih menu lokal internasional lezat area kolam renang tenang cocok santa lokasi strategis pusat kota mudah jangkau layan kualitas banding harga rekomendasi libur keluarga jalan bisnis,positif,positif,9
Ci9DQUlRQUNvZENodHljRjlvT21KTlJHeGpSbVp4VUZCR05UTkxOV2hLVjFNMGMzYxAB,5,"Menginap di Grand Mercure Yogyakarta terasa nyaman dan menyenangkan. Kamarnya bersih, luas, dan fasilitasnya lengkap. Staf hotelnya ramah dan sangat membantu dari check-in sampai check-out. Sarapannya juga enak, pilihan menunya banyak dan tempatnya nyaman. Lokasi hotel strategis, dekat ke beberapa tempat makan dan pusat kota, jadi gampang kalau mau jalan-jalan. Kolam renangnya bersih dan suasananya tenang buat rileks. Secara keseluruhan, pengalaman menginap di sini memuaskan dan worth it. Pasti jadi pilihan kalau ke Yogyakarta lagiJenis perjalananLiburanGrup perjalananPasanganKamar: 5Layanan: 5Lokasi: 5Sorotan hotelMewah, Pemandangan yang indah, Romantis, Tenang, Cocok untuk anak-anak, Harga terbaik, Berteknologi tinggi",inap grand mercure yogyakarta nyaman senang kamar bersih luas fasilitas lengkap staf hotel ramah bantu check sarapan enak pilih menu lokasi strategis makan pusat kota gampang jalan kolam renang suasana tenang rileks alam puas worth mewah pandang indah romantis cocok harga teknologi,positif,positif,9
Ci9DQUlRQUNvZENodHljRjlvT2sxck16Tm5ZWE4xVVZSb2FERnhkalZQU2tSSkxWRRAB,5,"Kamar besar, bersih dan sangat nyaman, breakfast sangat memuaskan, menu western maupun tradisional lengkap. Paling mantab tempat nongki outdoor sambil ngopi2. Thanks to Kak Meiriska atas pelayanan kepada rombongan kami, terbaik.Kamar: 5Layanan: 5Lokasi: 5",kamar bersih nyaman breakfast puas menu western tradisional lengkap bagus nongki outdoor ngopi thanks meiriska layan rombong,positif,positif,3
Ci9DQUlRQUNvZENodHljRjlvT2tGYU1XcFFVMFZEWTJaeUxXTm5NMTlYVFhSNlNYYxAB,5,"Menginap selama satu malam di hotel ini. Memilih tipe kamar superior dengan double bed, perlengkapan yang ada di dalam ruang kamar berfungsi dengan baik, dan untuk amenities nya cukup lengkap, pendingin ruangan juga bekerja dengan baik, kebersihan ruang kamar termasuk area kamar mandi juga baik. Pelayanan ramah. Waktu tunggu proses check in dan check out cepat. Harga yang ditawarkan juga cukup kompetitif. Area parkir tersedia cukup luas.Jenis perjalananLiburanGrup perjalananPasanganKamar: 5Layanan: 5Lokasi: 5KamarKamar dalam kondisi bersih, semua perlengkapan berfungsi dengan baik, pendingin ruangan berfungsi dengan baik, kekedapan ruang baik.Aktivitas di sekitarKawasan Malioboro dapat ditempuh dengan menggunakan mobil kurang lebih 10 menit, juga dekat dengan stasiun tugu dan stasiun lempuyangan, yang juga dapat ditempuh kurang lebih 10 menit.KeamananTersedia tim pengamanan (security) 24 jam.Area untuk berjalan kakiDapat berjalan kaki kurang lebih 5-10 menit kebeberapa kawasan kuliner di area gejayan.Detail pentingPilihan kamar yang tidak menghadap ke jalan utama mungkin dapat lebih nyaman. Karena lokasi hotel ini terletak di jalan utama, yang sibuk sepanjang hari.Sorotan hotelTenang, Harga terbaik",inap malam hotel pilih tipe kamar superior double lengkap ruang fungsi amenities dingin kerja bersih masuk area mandi layan ramah tunggu proses check cepat harga tawar kompetitif parkir sedia luas kondisi kedap kawasan malioboro tempuh mobil menit stasiun tugu lempuyangan aman security jalan kaki kuliner gejayan hadap utama nyaman lokasi letak sibuk tenang,positif,positif,7
Ci9DQUlRQUNvZENodHljRjlvT25ORWRXbDVabTV2VUU0NVVreDRkbTF2VDJzNFJuYxAB,5,"Pengalaman menginap di Grand Mercure sungguh memuaskan. Begitu tiba, suasana hotel terasa mewah namun tetap nyaman. Proses check-in cepat, dan staf sangat membantu. Kamar tertata rapi, bersih, dan memiliki aroma yang menyegarkan. Fasilitasnya lengkap mulai dari gym, spa, hingga kolam renang yang nyaman untuk bersantai. Sarapan juga sangat memanjakan, dengan banyak pilihanKamar: 5Layanan: 5Lokasi: 5",alam inap grand mercure sungguh puas suasana hotel mewah nyaman proses check cepat staf bantu kamar tata rapi bersih milik aroma segar fasilitas lengkap kolam renang santa sarapan manja pilih,positif,positif,8
ChZDSUhNMG9nS0VMYlAzcGVlcnItaU9REAE,5,"Hotel memiliki fasilitas yang memuaskan, lokasi strategis, dengan design khas jogja membuat kami nyaman menginap di hotel. Selain itu ada juga pengalaman anak saya yang ketinggalan bantal, namun service dari hotel sangat memuaskan dengan langsung mengkonfirmasi bantal yang tertinggal agar bisa langsung diambil oleh kami",hotel milik fasilitas puas lokasi strategis design khas jogja nyaman inap alam tinggal bantal service langsung konfirmasi ambil,positif,positif,7
Ci9DQUlRQUNvZENodHljRjlvT2xkSk1GUlFSVzR3UldWeVJIVjNWMVE1TjBsbFJuYxAB,5,"Menginap 2 malam di hotel ini karena ada kegiatan dari kemdikdasmen, suasana tenang tidak berisik, kamar rapi, nyaman, lobi dan lift wangi.
Makanan juga beraneka ragam, banyak variasi
Akses kendaraan di depan lobby parkiran cukup luas sehingga mempermudah untuk akses naik turun dari kendaraan saat kita ingin bepergian, check in ataupun check outJenis perjalananBisnisGrup perjalananTunggalKamar: 5Layanan: 5Lokasi: 5Sorotan hotelTenang",inap malam hotel giat kemdikdasmen suasana tenang berisik kamar rapi nyaman lobi lift wangi makan aneka ragam variasi akses kendara lobby parkir luas mudah turun pergi check,positif,positif,8
Ci9DQUlRQUNvZENodHljRjlvT2xsVmFVNXdhekJrTVhkM00xVjNkblV4UkdKclZXYxAB,5,"Nginep di Grand Mercure Yogyakarta bener-bener menyenangkan. Kamarnya bersih, nyaman, dan rapi. Stafnya ramah dan bantu banget dari awal sampai checkout. Sarapannya enak dan pilihannya banyak. Lokasinya juga strategis, gampang ke mana-mana. Fasilitas seperti kolam renang dan gym oke dan terawat. Overall, pengalaman menginap di sini puas banget dan pasti mau balik lagiJenis perjalananBisnisGrup perjalananKeluargaKamar: 5Layanan: 5Lokasi: 5Sorotan hotelMewah",nginep grand mercure yogyakarta bener senang kamar bersih nyaman rapi staf ramah bantu banget checkout sarapan enak pilih lokasi strategis gampang fasilitas kolam renang awat overall alam inap puas mewah,positif,positif,4
ChZDSUhNMG9nS0VPNkl0OW5OOTRMQ0JBEAE,5,"Berikut contoh ulasan 100 kata untuk Google Maps hotel (bisa kamu sesuaikan dengan nama hotelnya 👇):||⸻||Saya menginap di hotel ini selama beberapa hari dan pengalamannya sangat memuaskan. Kamar bersih, nyaman, dan fasilitasnya lengkap. … Baca ulasan lainnya di Tripadvisor",contoh ulas google maps hotel sesuai inap alam puas kamar bersih nyaman fasilitas lengkap baca tripadvisor,positif,positif,5
