Label,Casefold,processed,label_encoded
positif,pelayanannya ramah bgtt fasilitas kamar juga oke recommended utk yang mau liburan krn lokasinya dekat banyak tempat wisata,layan ramah banget fasilitas kamar baik rekomendasi libur lokasi dekat banyak tempat wisata,2
negatif,baru kali ini sangat kecewa dengan pelayanan hotel mercure di kota mana pun baru kali ini saya sangat kecewa minta kunci kamar punya suami saja yang sudah di titipkan susahnya minta amoun harus tunggu bberapa lama berasa saya di curigai sama pihak lobby keterlaluan buat emosi,baru kali sangat kecewa layan hotel mercure kota mana baru kali sangat kecewa minta kunci kamar punya suami titip susah minta harus tunggu beberapa lama rasa curiga sama pihak lobby terlalu emosi,0
positif,liburan menyenangkan di jogja stay di hotel yg luar biasa,libur senang jogja stay hotel luar biasa,2
positif,lokasinya juga mantap dekat dengan bandara dan tempat tempat wisata untuk kamarnya sendiri menurut saya nyaman dan fasilitasnya lengkap pelayanan nya baik dan stafnya ramah ramah,lokasi mantap dekat bandara tempat tempat wisata kamar sendiri turut nyaman fasilitas lengkap layan baik staf ramah ramah,2
positif,saya merekomendasikan anda untuk menginap di hotel ini pelayanannya bagus ramah dan makanannya juga enak sebagai ibu yg sedang menyusui saya sangat mengapresiasi atas layanan penyimpanan asi yang ada di bagian resepsionis,rekomendasi inap hotel layan bagus ramah makan enak ibu sedang susu sangat apresiasi atas layan simpan asi bagi resepsionis,2
positif,sarapan lengkap enak pelayanan bagus dengan mbak devita,sarap lengkap enak layan bagus,2
positif,pelayanan top tempat nyaman sekali sangatt recomend,layan top tempat nyaman sekali sangat recomended,2
positif,menunya bervariatif dan enak pilihan desertnya juga banyak,menu variatif enak pilih desert banyak,2
negatif,staff ramah itu jd menutupi kekurangan yg lain sih terimakasih ya mba dan mas too bad kamarnya gelap tv nya gambarnya semut jd kurang clear heater nya mesti,staff ramah tutup kurang lain terimakasih too bad kamar gelap televisi gambar semut kurang bersih heater mesti,0
positif,untuk kamar bersih aman dan nyaman bisa di jadikan rekomendasi buat nginap atau staycation tpi sama istri loh staff nya juga ramah,kamar bersih aman nyaman bisa jadi rekomendasi nginap staycation sama istri staff ramah,2
positif,puas banget deh dengan pelayanan di hotel ini mulai dari fasilitas hingga makanan nya rekomend banget buat yang mau nyari hotel bintang lima dengan harga yang masih dibilang standar suasana hotel juga nyaman dan asri bikin jadi betah,puas banget layan hotel mulai fasilitas hingga makan rekomend banget nyari hotel bintang lima harga masih bilang standar suasana hotel nyaman asri bikin betah,2
netral,menginap utk malam dikamar tipe deluxe ada beberapa spot lantai yg tidak sempat di vacum tp overall kamar bersih dan terawat hanya saja saya tidak mendapatkan pemandangan dari jendela pemandangan hanya kooridor tempat meeting,inap malam kamar tipe deluxe beberapa spot lantai sempat vacum semua kamar bersih awat hanya dapat pandang jendela pandang hanya kooridor tempat meeting,1
positif,overall nyaman suasana oke kamar jg bersih wangi,semua nyaman suasana baik kamar bersih wangi,2
netral,bagus hotel tengah kota yogyakarta kami nginap hari cukup berkesan wlopun belum nyoba semua fasilitasnya karena tugas kantor namun ada hal yg kurang entah sop atau pernah terjadi sesuatu terkait keamanan,bagus hotel tengah kota yogyakarta nginap hari cukup kesan walaupun belum nyoba semua fasilitas tugas kantor namun hal kurang entah sop pernah jadi sesuatu kait aman,1
positif,senang menginap disini makanannya enak enak ruangannya luas awalnya check in ada air ac sedikit tp tim gercep membetulkan dan semuanya sangat ramah terutama mbak devita dan satunya mas siapa kemarin malam ya yang langsung gercep menghubungi teknisi ketika ada permasalahan di ac,senang inap sini makan enak enak ruang luas awal check in air ac sedikit tim gercep betul semua sangat ramah utama satu siapa kemarin malam langsung gercep hubung teknisi ketika masalah ac,2
positif,tempatnya nyaman staffnya baik,tempat nyaman staffnya baik,2
positif,makanannya enak tempatnya nyaman lokasi dekat dg perkotaan dan depan jalan raya bagus untuk staycation berhari hari sesuai harapan dan recomend buat nginep,makan enak tempat nyaman lokasi dekat kota depan jalan raya bagus staycation hari hari sesuai harap recomended nginep,2
positif,makanannya enak paling favorit nasi goreng buat anak dan overalla good,makan enak paling favorit nasi goreng over all good,2
negatif,sebelumnya pernah menginap di mercure surabaya pontianak dibanding kedua hotel tsb menurut saya utk sisi rasa pada menu breakfast mercure yogya kurang nendang alhasil kali breakfast mengambil menu yg sama yaitu gudeg lebih karena,belum pernah inap mercure surabaya pontianak banding dua hotel sebut turut sisi rasa menu sarap mercure yogya kurang nendang alhasil kali sarap ambil menu sama gudeg lebih,0
negatif,saya setiap merayakan tahun baru selalu nginap hotel di yogyakarta atau di semarang baru mengalami di hotel ini untuk gala dinner harus reservasi bayar pack orang biasanya free orang per kamar sisanya baru bayar untuk hotel,tiap raya tahun baru selalu nginap hotel yogyakarta semarang baru alami hotel gala dinner harus reservasi bayar pack orang biasa free orang per kamar sisa baru bayar hotel,0
netral,proses booking responnya sangat lambat akhirnya krn kamar yg dipesan keburu habis diupgrade pelayanan lain memuaskan,proses booking responnya sangat lambat akhir kamar pes keburu habis diupgrade layan lain muas,1
netral,secara keseluruhan utk makanan enaak kecuali krecek terlalu oily encer hotel bagus t strategis,cara seluruh makan enaak kecuali krecek terlalu oily encer hotel bagus strategis,1
positif,hotelnya nyaman sekali pelayanannya sangat memuaskan stafnya ramah kamar bersih dan rapi lokasinya cukup strategis dipinggir jalan mudah untuk mengakses kemanapun tingkat keamanan hotel pun sangat baik dan memuaskan karna tidak sembarang orang bisa masuk kamar,hotel nyaman sekali layan sangat muas staf ramah kamar bersih rapi lokasi cukup strategis pinggir jalan mudah akses mana tingkat aman hotel sangat baik muas karna sembarang orang bisa masuk kamar,2
negatif,toilet di ruang rapat lt nggk bisa dikunci mushola sempit aroma kurang sedap yaaa b aja si tp imo nggk worth it dengan rate segitu,toilet ruang rapat lantai bisa kunci mushola sempit aroma kurang sedap worth it rate segitu,0
positif,untuk breakfast lengkap bgt makanannya enak pool pelayannann bernama lena ramah dan baik,sarap lengkap banget makan enak layan nama ramah baik,2
positif,pelayanan ramah variasi sarapan oke lokasi strategis,layan ramah variasi sarap baik lokasi strategis,2
positif,breakfast nya alhamdulillah enak,sarap alhamdulillah enak,2
negatif,sy membooking smpe hr dikamar pertama sy komplain krn kamar ad suara berdengung kencang jd kami tdk bs istrht tenang akhirnya diupgrade kmr yg lbh besar krn kami dtg di moment lebaran jd kamar sisa ini awal sy masuk kamar konsepnya agak,membooking smpe hari kamar pertama komplain kamar suara dengung kencang istrht tenang akhir diupgrade kamar lebih besar datang moment lebaran kamar sisa awal masuk kamar konsep agak,0
positif,sarapan dan pelayanannya mantap kamar nya bersih mba nya juga ramah silvia,sarap layan mantap kamar bersih ramah,2
netral,semoga safe deposit boxnya bisa lebih bagus ya,moga safe deposit boxnya bisa lebih bagus,1
positif,sarapan paginya lengkap dan sangat enak layanan atas nama fifin baik dan ramah,sarap pagi lengkap sangat enak layan atas nama baik ramah,2
positif,lokasi strategis dekat mall dan rumah sakit kamarnya oke ruang meeting nya banyak dan proper snack rapatnya variatif dan enak enak,lokasi strategis dekat mall rumah sakit kamar baik ruang meeting banyak proper snack rapat variatif enak enak,2
negatif,untuk makanannya lumayan banyak tetapi untuk kamar tidak sesuai dengan permintaan tanpa konfirmasi terlebih dahulu dan untuk pelayanan pada saat cek in pelayanannya kurang,makan lumayan banyak tetapi kamar sesuai minta tanpa konfirmasi lebih dahulu layan saat check in layan kurang,0
positif,menu masakannya enak pelayanan bagus sempat minta dilayani mbak fifin cepat dan tidak berteletele,menu masakan enak layan bagus sempat minta layan cepat berteletele,2
