Casefold,processed,label_encoded,model_Label,gpt_label
pelayanannya ramah bgtt fasilitas kamar juga oke recommended utk yang mau liburan krn lokasinya dekat banyak tempat wisata,layan ramah banget fasilitas kamar baik rekomendasi libur lokasi dekat banyak tempat wisata,2,positif,positif
baru kali ini sangat kecewa dengan pelayanan hotel mercure di kota mana pun baru kali ini saya sangat kecewa minta kunci kamar punya suami saja yang sudah di titipkan susahnya minta amoun harus tunggu bberapa lama berasa saya di curigai sama pihak lobby keterlaluan buat emosi,baru kali sangat kecewa layan hotel mercure kota mana baru kali sangat kecewa minta kunci kamar punya suami titip susah minta harus tunggu beberapa lama rasa curiga sama pihak lobby terlalu emosi,0,negatif,negatif
liburan menyenangkan di jogja stay di hotel yg luar biasa,libur senang jogja stay hotel luar biasa,2,positif,positif
lokasinya juga mantap dekat dengan bandara dan tempat tempat wisata untuk kamarnya sendiri menurut saya nyaman dan fasilitasnya lengkap pelayanan nya baik dan stafnya ramah ramah,lokasi mantap dekat bandara tempat tempat wisata kamar sendiri turut nyaman fasilitas lengkap layan baik staf ramah ramah,2,positif,positif
saya merekomendasikan anda untuk menginap di hotel ini pelayanannya bagus ramah dan makanannya juga enak sebagai ibu yg sedang menyusui saya sangat mengapresiasi atas layanan penyimpanan asi yang ada di bagian resepsionis,rekomendasi inap hotel layan bagus ramah makan enak ibu sedang susu sangat apresiasi atas layan simpan asi bagi resepsionis,2,positif,positif
sarapan lengkap enak pelayanan bagus dengan mbak devita,sarap lengkap enak layan bagus,2,positif,positif
pelayanan top tempat nyaman sekali sangatt recomend,layan top tempat nyaman sekali sangat recomended,2,positif,positif
menunya bervariatif dan enak pilihan desertnya juga banyak,menu variatif enak pilih desert banyak,2,positif,positif
staff ramah itu jd menutupi kekurangan yg lain sih terimakasih ya mba dan mas too bad kamarnya gelap tv nya gambarnya semut jd kurang clear heater nya mesti,staff ramah tutup kurang lain terimakasih too bad kamar gelap televisi gambar semut kurang bersih heater mesti,0,negatif,netral
untuk kamar bersih aman dan nyaman bisa di jadikan rekomendasi buat nginap atau staycation tpi sama istri loh staff nya juga ramah,kamar bersih aman nyaman bisa jadi rekomendasi nginap staycation sama istri staff ramah,2,positif,positif
puas banget deh dengan pelayanan di hotel ini mulai dari fasilitas hingga makanan nya rekomend banget buat yang mau nyari hotel bintang lima dengan harga yang masih dibilang standar suasana hotel juga nyaman dan asri bikin jadi betah,puas banget layan hotel mulai fasilitas hingga makan rekomend banget nyari hotel bintang lima harga masih bilang standar suasana hotel nyaman asri bikin betah,2,positif,positif
menginap utk malam dikamar tipe deluxe ada beberapa spot lantai yg tidak sempat di vacum tp overall kamar bersih dan terawat hanya saja saya tidak mendapatkan pemandangan dari jendela pemandangan hanya kooridor tempat meeting,inap malam kamar tipe deluxe beberapa spot lantai sempat vacum semua kamar bersih awat hanya dapat pandang jendela pandang hanya kooridor tempat meeting,1,netral,positif
overall nyaman suasana oke kamar jg bersih wangi,semua nyaman suasana baik kamar bersih wangi,2,positif,positif
bagus hotel tengah kota yogyakarta kami nginap hari cukup berkesan wlopun belum nyoba semua fasilitasnya karena tugas kantor namun ada hal yg kurang entah sop atau pernah terjadi sesuatu terkait keamanan,bagus hotel tengah kota yogyakarta nginap hari cukup kesan walaupun belum nyoba semua fasilitas tugas kantor namun hal kurang entah sop pernah jadi sesuatu kait aman,1,netral,positif
senang menginap disini makanannya enak enak ruangannya luas awalnya check in ada air ac sedikit tp tim gercep membetulkan dan semuanya sangat ramah terutama mbak devita dan satunya mas siapa kemarin malam ya yang langsung gercep menghubungi teknisi ketika ada permasalahan di ac,senang inap sini makan enak enak ruang luas awal check in air ac sedikit tim gercep betul semua sangat ramah utama satu siapa kemarin malam langsung gercep hubung teknisi ketika masalah ac,2,positif,positif
tempatnya nyaman staffnya baik,tempat nyaman staffnya baik,2,positif,positif
makanannya enak tempatnya nyaman lokasi dekat dg perkotaan dan depan jalan raya bagus untuk staycation berhari hari sesuai harapan dan recomend buat nginep,makan enak tempat nyaman lokasi dekat kota depan jalan raya bagus staycation hari hari sesuai harap recomended nginep,2,positif,positif
makanannya enak paling favorit nasi goreng buat anak dan overalla good,makan enak paling favorit nasi goreng over all good,2,positif,positif
sebelumnya pernah menginap di mercure surabaya pontianak dibanding kedua hotel tsb menurut saya utk sisi rasa pada menu breakfast mercure yogya kurang nendang alhasil kali breakfast mengambil menu yg sama yaitu gudeg lebih karena,belum pernah inap mercure surabaya pontianak banding dua hotel sebut turut sisi rasa menu sarap mercure yogya kurang nendang alhasil kali sarap ambil menu sama gudeg lebih,0,negatif,negatif
