Label,Casefold
positif,pelayanannya ramah bgtt fasilitas kamar juga oke recommended utk yang mau liburan krn lokasinya dekat banyak tempat wisata
negatif,baru kali ini sangat kecewa dengan pelayanan hotel mercure di kota mana pun baru kali ini saya sangat kecewa minta kunci kamar punya suami saja yang sudah di titipkan susahnya minta amoun harus tunggu bberapa lama berasa saya di curigai sama pihak lobby keterlaluan buat emosi
positif,liburan menyenangkan di jogja stay di hotel yg luar biasa
positif,lokasinya juga mantap dekat dengan bandara dan tempat tempat wisata untuk kamarnya sendiri menurut saya nyaman dan fasilitasnya lengkap pelayanan nya baik dan stafnya ramah ramah
positif,saya merekomendasikan anda untuk menginap di hotel ini pelayanannya bagus ramah dan makanannya juga enak sebagai ibu yg sedang menyusui saya sangat mengapresiasi atas layanan penyimpanan asi yang ada di bagian resepsionis
,menu resto lengkap pelayanan oke best bgt deh thank u
positif,sarapan lengkap enak pelayanan bagus dengan mbak devita
positif,pelayanan top tempat nyaman sekali sangatt recomend
positif,menunya bervariatif dan enak pilihan desertnya juga banyak
negatif,staff ramah itu jd menutupi kekurangan yg lain sih terimakasih ya mba dan mas too bad kamarnya gelap tv nya gambarnya semut jd kurang clear heater nya mesti
positif,untuk kamar bersih aman dan nyaman bisa di jadikan rekomendasi buat nginap atau staycation tpi sama istri loh staff nya juga ramah
,kamar dan suasana nyaman bersih ga bakal nyesel nginep disini sarapannya juga enak enak sampe bingung tks kak caroline sudah menservice kita dgn happy
positif,puas banget deh dengan pelayanan di hotel ini mulai dari fasilitas hingga makanan nya rekomend banget buat yang mau nyari hotel bintang lima dengan harga yang masih dibilang standar suasana hotel juga nyaman dan asri bikin jadi betah
netral,menginap utk malam dikamar tipe deluxe ada beberapa spot lantai yg tidak sempat di vacum tp overall kamar bersih dan terawat hanya saja saya tidak mendapatkan pemandangan dari jendela pemandangan hanya kooridor tempat meeting
positif,overall nyaman suasana oke kamar jg bersih wangi
netral,bagus hotel tengah kota yogyakarta kami nginap hari cukup berkesan wlopun belum nyoba semua fasilitasnya karena tugas kantor namun ada hal yg kurang entah sop atau pernah terjadi sesuatu terkait keamanan
positif,senang menginap disini makanannya enak enak ruangannya luas awalnya check in ada air ac sedikit tp tim gercep membetulkan dan semuanya sangat ramah terutama mbak devita dan satunya mas siapa kemarin malam ya yang langsung gercep menghubungi teknisi ketika ada permasalahan di ac
positif,tempatnya nyaman staffnya baik
,untuk sarapan paginya sangat enak banyak menunya dan layanan atas nama fifin sangat bagus semuanya memuaskan
positif,makanannya enak tempatnya nyaman lokasi dekat dg perkotaan dan depan jalan raya bagus untuk staycation berhari hari sesuai harapan dan recomend buat nginep
positif,makanannya enak paling favorit nasi goreng buat anak dan overalla good
negatif,sebelumnya pernah menginap di mercure surabaya pontianak dibanding kedua hotel tsb menurut saya utk sisi rasa pada menu breakfast mercure yogya kurang nendang alhasil kali breakfast mengambil menu yg sama yaitu gudeg lebih karena
,suka banget hospitality nya top untuk makanan minuman enak dan nyaman kalau boleh banyakkin menu asal jogja lagi yaa heheh gudeg lupis getuk pecel
,sarapan menu sangat bnyk n enak pelayanannya sangat ramah devita
negatif,saya setiap merayakan tahun baru selalu nginap hotel di yogyakarta atau di semarang baru mengalami di hotel ini untuk gala dinner harus reservasi bayar pack orang biasanya free orang per kamar sisanya baru bayar untuk hotel
netral,proses booking responnya sangat lambat akhirnya krn kamar yg dipesan keburu habis diupgrade pelayanan lain memuaskan
netral,secara keseluruhan utk makanan enaak kecuali krecek terlalu oily encer hotel bagus t strategis
positif,hotelnya nyaman sekali pelayanannya sangat memuaskan stafnya ramah kamar bersih dan rapi lokasinya cukup strategis dipinggir jalan mudah untuk mengakses kemanapun tingkat keamanan hotel pun sangat baik dan memuaskan karna tidak sembarang orang bisa masuk kamar
negatif,toilet di ruang rapat lt nggk bisa dikunci mushola sempit aroma kurang sedap yaaa b aja si tp imo nggk worth it dengan rate segitu
positif,untuk breakfast lengkap bgt makanannya enak pool pelayannann bernama lena ramah dan baik
positif,pelayanan ramah variasi sarapan oke lokasi strategis
,untuk sarapannya lengkap semuanya ada enak saladnya fresh fres lena
,kren top markotop menu pelayanan nya suupeer
positif,breakfast nya alhamdulillah enak
,untuk kamar nya cukup nyaman pelayanan juga oke banget
negatif,sy membooking smpe hr dikamar pertama sy komplain krn kamar ad suara berdengung kencang jd kami tdk bs istrht tenang akhirnya diupgrade kmr yg lbh besar krn kami dtg di moment lebaran jd kamar sisa ini awal sy masuk kamar konsepnya agak
positif,sarapan dan pelayanannya mantap kamar nya bersih mba nya juga ramah silvia
