review,token
"Pelayanannya ramah bgtt, fasilitas kamar juga oke. Recommended utk yang mau liburan krn lokasinya dekat banyak tempat wisata","['layan', 'ramah', 'sangat', 'fasilitas', 'kamar', 'oke', 'recommended', 'untuk', 'mau', 'libur', 'krn', 'lokasi', 'dekat', 'banyak', 'tempat', 'wisata']"
"Baru kali ini sangat kecewa dengan pelayanan hotel Mercure, di kota mana pun baru kali ini saya sangat kecewa. Minta kunci kamar punya suami saja yang sudah di titipkan susahnya minta amoun harus tunggu bberapa lama, berasa saya di curigai sama pihak lobby, keterlaluan buat emosi.","['baru', 'kali', 'sangat', 'kecewa', 'layan', 'hotel', 'mercure', 'kota', 'mana', 'baru', 'kali', 'sangat', 'kecewa', 'minta', 'kunci', 'kamar', 'punya', 'suami', 'yang', 'di', 'titip', 'susah', 'minta', 'amoun', 'tunggu', 'bberapa', 'lama', 'asa', 'saya', 'di', 'curiga', 'sama', 'pihak', 'lobby', 'terlalu', 'buat', 'emosi']"
"Liburan menyenangkan di jogja
Stay di hotel yg luar biasa","['libur', 'senang', 'jogja', 'stay', 'hotel', 'yang', 'luar', 'biasa']"
lokasinya juga mantap dekat dengan bandara dan tempat-tempat wisata. untuk kamarnya sendiri menurut saya nyaman dan fasilitasnya lengkap. pelayanan nya baik dan stafnya ramah-ramah.,"['lokasi', 'mantap', 'dekat', 'bandara', 'tempat', 'tempat', 'wisata', 'kamar', 'sendiri', 'saya', 'nyaman', 'fasilitas', 'lengkap', 'layan', 'baik', 'staf', 'ramah', 'ramah']"
"Saya merekomendasikan anda untuk menginap di hotel ini. Pelayanannya bagus, ramah dan makanannya juga enak. Sebagai ibu yg sedang menyusui saya sangat mengapresiasi atas layanan penyimpanan ASI yang ada di bagian resepsionis.","['rekomendasi', 'untuk', 'inap', 'hotel', 'layan', 'bagus', 'ramah', 'makan', 'enak', 'ibu', 'yang', 'sedang', 'susu', 'sangat', 'apresiasi', 'atas', 'layan', 'simpan', 'asi', 'ada', 'bagi', 'resepsionis']"
"Menu resto lengkap, pelayanan oke. Best bgt deh thank u!","['menu', 'resto', 'lengkap', 'layan', 'oke', 'best', 'sangat', 'thank', 'u']"
"Sarapan lengkap, enak
Pelayanan bagus dengan mbak devita","['sarap', 'lengkap', 'enak', 'layan', 'bagus', 'mbak', 'devita']"
"pelayanan top, tempat nyaman sekali
sangatt recomend","['layan', 'top', 'tempat', 'nyaman', 'sekali', 'sangatt', 'recomend']"
"Menunya bervariatif dan enak2, pilihan desertnya juga banyak 👍 …","['menu', 'variatif', 'enak', 'pilih', 'desertnya', 'banyak']"
"Staff ramah itu jd menutupi kekurangan yg lain sih. Terimakasih ya mba dan mas!

Too bad kamarnya gelap, TV nya gambarnya semut jd kurang clear, heater nya mesti …","['staff', 'ramah', 'jd', 'tutup', 'kurang', 'yang', 'terimakasih', 'mba', 'mas', 'too', 'bad', 'kamar', 'gelap', 'tv', 'gambar', 'semut', 'jd', 'kurang', 'clear', 'heater', 'mesti']"
"Untuk kamar bersih, aman dan nyaman, bisa di jadikan rekomendasi buat nginap atau staycation tpi sama istri loh, staff nya juga ramah 👍👍 …","['kamar', 'bersih', 'aman', 'nyaman', 'di', 'jadi', 'rekomendasi', 'buat', 'nginap', 'staycation', 'tapi', 'sama', 'istri', 'staff', 'ramah']"
Kamar dan suasana nyaman..bersih..ga bakal nyesel nginep disini..sarapannya juga enak enak..sampe bingung😁.TKS kak Caroline sudah menservice kita dgn happy …,"['kamar', 'suasana', 'nyaman', 'bersih', 'tidak', 'bakal', 'nyesel', 'nginep', 'sini', 'sarap', 'enak', 'enak', 'sampe', 'bingung', 'tks', 'kak', 'caroline', 'menservice', 'dengan', 'happy']"
"Puas banget deh dengan pelayanan di hotel ini, mulai dari fasilitas hingga makanan nya rekomend banget buat yang mau nyari hotel bintang lima dengan harga yang masih dibilang standar, suasana hotel juga nyaman dan asri bikin jadi betah …","['puas', 'banget', 'layan', 'hotel', 'mulai', 'fasilitas', 'hingga', 'makan', 'rekomend', 'banget', 'buat', 'mau', 'nyari', 'hotel', 'bintang', 'lima', 'harga', 'masih', 'bilang', 'standar', 'suasana', 'hotel', 'nyaman', 'asri', 'bikin', 'jadi', 'betah']"
"Menginap utk 3 malam dikamar tipe deluxe, ada beberapa spot lantai yg tidak sempat di vacum, tp overall kamar bersih dan terawat. Hanya saja saya tidak mendapatkan pemandangan dari jendela, pemandangan hanya kooridor tempat meeting😭😭 …","['inap', 'untuk', 'malam', 'kamar', 'tipe', 'deluxe', 'beberapa', 'spot', 'lantai', 'yang', 'sempat', 'vacum', 'tapi', 'overall', 'kamar', 'bersih', 'awat', 'saja', 'tidak', 'dapat', 'pandang', 'jendela', 'pandang', 'kooridor', 'tempat', 'meeting']"
"Overall nyaman, suasana oke.. kamar jg bersih, wangi.","['overall', 'nyaman', 'suasana', 'oke', 'kamar', 'juga', 'bersih', 'wangi']"
"Bagus,  hotel tengah kota yogyakarta. Kami nginap 3 hari cukup berkesan,  wlopun belum nyoba semua fasilitasnya karena tugas kantor,
Namun ada hal yg kurang, entah SOP atau pernah terjadi sesuatu terkait keamanan, …","['bagus', 'hotel', 'tengah', 'kota', 'yogyakarta', 'nginap', 'hari', 'cukup', 'kesan', 'wlopun', 'nyoba', 'semua', 'fasilitas', 'tugas', 'kantor', 'ada', 'yang', 'kurang', 'entah', 'sop', 'pernah', 'jadi', 'kait', 'aman']"
"Senang menginap disini, makanannya enak-enak, ruangannya luas. Awalnya check-in ada air ac sedikit, tp tim gercep membetulkan dan semuanya sangat ramah, terutama mbak Devita dan satunya mas siapa kemarin malam ya yang langsung gercep menghubungi teknisi ketika ada permasalahan di ac.","['senang', 'inap', 'sini', 'makan', 'enak', 'enak', 'ruang', 'luas', 'awal', 'check', 'in', 'air', 'ac', 'sedikit', 'tapi', 'tim', 'gercep', 'betul', 'semua', 'sangat', 'ramah', 'utama', 'mbak', 'devita', 'satu', 'mas', 'siapa', 'kemarin', 'malam', 'yang', 'langsung', 'gercep', 'hubung', 'teknisi', 'ada', 'masalah', 'ac']"
"tempatnya nyaman, staffnya baik","['tempat', 'nyaman', 'staffnya', 'baik']"
