normalized,filtered
"['pelayanannya', 'ramah', 'sangat', 'fasilitas', 'kamar', 'juga', 'oke', 'recommended', 'untuk', 'yang', 'mau', 'liburan', 'krn', 'lokasinya', 'dekat', 'banyak', 'tempat', 'wisata']","['pelayanannya', 'ramah', 'sangat', 'fasilitas', 'kamar', 'oke', 'recommended', 'mau', 'liburan', 'krn', 'lokasinya', 'dekat', 'banyak', 'tempat', 'wisata']"
"['baru', 'kali', 'ini', 'sangat', 'kecewa', 'dengan', 'pelayanan', 'hotel', 'mercure', 'di', 'kota', 'mana', 'baru', 'kali', 'ini', 'saya', 'sangat', 'kecewa', 'minta', 'kunci', 'kamar', 'punya', 'suami', 'saja', 'yang', 'sudah', 'di', 'titipkan', 'susahnya', 'minta', 'amoun', 'harus', 'tunggu', 'bberapa', 'lama', 'berasa', 'saya', 'di', 'curigai', 'sama', 'pihak', 'lobby', 'keterlaluan', 'buat', 'emosi']","['baru', 'kali', 'sangat', 'kecewa', 'pelayanan', 'hotel', 'mercure', 'kota', 'mana', 'baru', 'kali', 'sangat', 'kecewa', 'minta', 'kunci', 'kamar', 'punya', 'suami', 'titipkan', 'susahnya', 'minta', 'amoun', 'tunggu', 'bberapa', 'lama', 'berasa', 'curigai', 'sama', 'pihak', 'lobby', 'keterlaluan', 'buat', 'emosi']"
"['liburan', 'menyenangkan', 'di', 'jogja', 'stay', 'di', 'hotel', 'yang', 'luar', 'biasa']","['liburan', 'menyenangkan', 'jogja', 'stay', 'hotel', 'luar', 'biasa']"
"['lokasinya', 'juga', 'mantap', 'dekat', 'dengan', 'bandara', 'dan', 'tempat', 'tempat', 'wisata', 'untuk', 'kamarnya', 'sendiri', 'menurut', 'saya', 'nyaman', 'dan', 'fasilitasnya', 'lengkap', 'pelayanan', 'baik', 'dan', 'stafnya', 'ramah', 'ramah']","['lokasinya', 'mantap', 'dekat', 'bandara', 'tempat', 'tempat', 'wisata', 'kamarnya', 'sendiri', 'nyaman', 'fasilitasnya', 'lengkap', 'pelayanan', 'baik', 'stafnya', 'ramah', 'ramah']"
"['saya', 'merekomendasikan', 'anda', 'untuk', 'menginap', 'di', 'hotel', 'ini', 'pelayanannya', 'bagus', 'ramah', 'dan', 'makanannya', 'juga', 'enak', 'sebagai', 'ibu', 'yang', 'sedang', 'menyusui', 'saya', 'sangat', 'mengapresiasi', 'atas', 'layanan', 'penyimpanan', 'asi', 'yang', 'ada', 'di', 'bagian', 'resepsionis']","['merekomendasikan', 'menginap', 'hotel', 'pelayanannya', 'bagus', 'ramah', 'makanannya', 'enak', 'ibu', 'sedang', 'menyusui', 'sangat', 'mengapresiasi', 'atas', 'layanan', 'penyimpanan', 'asi', 'bagian', 'resepsionis']"
"['menu', 'resto', 'lengkap', 'pelayanan', 'oke', 'best', 'sangat', 'thank', 'u']","['menu', 'resto', 'lengkap', 'pelayanan', 'oke', 'best', 'sangat', 'thank', 'u']"
"['sarapan', 'lengkap', 'enak', 'pelayanan', 'bagus', 'dengan', 'mbak', 'devita']","['sarapan', 'lengkap', 'enak', 'pelayanan', 'bagus', 'mbak', 'devita']"
"['pelayanan', 'top', 'tempat', 'nyaman', 'sekali', 'sangatt', 'recomend']","['pelayanan', 'top', 'tempat', 'nyaman', 'sekali', 'sangatt', 'recomend']"
"['menunya', 'bervariatif', 'dan', 'enak', 'pilihan', 'desertnya', 'juga', 'banyak']","['menunya', 'bervariatif', 'enak', 'pilihan', 'desertnya', 'banyak']"
"['staff', 'ramah', 'itu', 'jd', 'menutupi', 'kekurangan', 'yang', 'lain', 'terimakasih', 'ya', 'mba', 'dan', 'mas', 'too', 'bad', 'kamarnya', 'gelap', 'tv', 'gambarnya', 'semut', 'jd', 'kurang', 'clear', 'heater', 'mesti']","['staff', 'ramah', 'jd', 'menutupi', 'kekurangan', 'terimakasih', 'mba', 'mas', 'too', 'bad', 'kamarnya', 'gelap', 'tv', 'gambarnya', 'semut', 'jd', 'kurang', 'clear', 'heater', 'mesti']"
"['untuk', 'kamar', 'bersih', 'aman', 'dan', 'nyaman', 'bisa', 'di', 'jadikan', 'rekomendasi', 'buat', 'nginap', 'atau', 'staycation', 'tapi', 'sama', 'istri', 'staff', 'juga', 'ramah']","['kamar', 'bersih', 'aman', 'nyaman', 'jadikan', 'rekomendasi', 'buat', 'nginap', 'staycation', 'sama', 'istri', 'staff', 'ramah']"
"['kamar', 'dan', 'suasana', 'nyaman', 'bersih', 'tidak', 'bakal', 'nyesel', 'nginep', 'disini', 'sarapannya', 'juga', 'enak', 'enak', 'sampe', 'bingung', 'tks', 'kak', 'caroline', 'sudah', 'menservice', 'kita', 'dengan', 'happy']","['kamar', 'suasana', 'nyaman', 'bersih', 'bakal', 'nyesel', 'nginep', 'disini', 'sarapannya', 'enak', 'enak', 'sampe', 'bingung', 'tks', 'kak', 'caroline', 'menservice', 'happy']"
"['puas', 'banget', 'dengan', 'pelayanan', 'di', 'hotel', 'ini', 'mulai', 'dari', 'fasilitas', 'hingga', 'makanan', 'rekomend', 'banget', 'buat', 'yang', 'mau', 'nyari', 'hotel', 'bintang', 'lima', 'dengan', 'harga', 'yang', 'masih', 'dibilang', 'standar', 'suasana', 'hotel', 'juga', 'nyaman', 'dan', 'asri', 'bikin', 'jadi', 'betah']","['puas', 'banget', 'pelayanan', 'hotel', 'mulai', 'fasilitas', 'hingga', 'makanan', 'rekomend', 'banget', 'buat', 'mau', 'nyari', 'hotel', 'bintang', 'lima', 'harga', 'dibilang', 'standar', 'suasana', 'hotel', 'nyaman', 'asri', 'bikin', 'jadi', 'betah']"
"['menginap', 'untuk', 'malam', 'dikamar', 'tipe', 'deluxe', 'ada', 'beberapa', 'spot', 'lantai', 'yang', 'tidak', 'sempat', 'di', 'vacum', 'tapi', 'overall', 'kamar', 'bersih', 'dan', 'terawat', 'hanya', 'saja', 'saya', 'tidak', 'mendapatkan', 'pemandangan', 'dari', 'jendela', 'pemandangan', 'hanya', 'kooridor', 'tempat', 'meeting']","['menginap', 'malam', 'dikamar', 'tipe', 'deluxe', 'beberapa', 'spot', 'lantai', 'sempat', 'vacum', 'overall', 'kamar', 'bersih', 'terawat', 'mendapatkan', 'pemandangan', 'jendela', 'pemandangan', 'kooridor', 'tempat', 'meeting']"
"['overall', 'nyaman', 'suasana', 'oke', 'kamar', 'juga', 'bersih', 'wangi']","['overall', 'nyaman', 'suasana', 'oke', 'kamar', 'bersih', 'wangi']"
"['bagus', 'hotel', 'tengah', 'kota', 'yogyakarta', 'kami', 'nginap', 'hari', 'cukup', 'berkesan', 'wlopun', 'belum', 'nyoba', 'semua', 'fasilitasnya', 'karena', 'tugas', 'kantor', 'namun', 'ada', 'hal', 'yang', 'kurang', 'entah', 'sop', 'atau', 'pernah', 'terjadi', 'sesuatu', 'terkait', 'keamanan']","['bagus', 'hotel', 'tengah', 'kota', 'yogyakarta', 'nginap', 'hari', 'cukup', 'berkesan', 'wlopun', 'nyoba', 'semua', 'fasilitasnya', 'tugas', 'kantor', 'kurang', 'entah', 'sop', 'pernah', 'terjadi', 'terkait', 'keamanan']"
"['senang', 'menginap', 'disini', 'makanannya', 'enak', 'enak', 'ruangannya', 'luas', 'awalnya', 'check', 'in', 'ada', 'air', 'ac', 'sedikit', 'tapi', 'tim', 'gercep', 'membetulkan', 'dan', 'semuanya', 'sangat', 'ramah', 'terutama', 'mbak', 'devita', 'dan', 'satunya', 'mas', 'siapa', 'kemarin', 'malam', 'ya', 'yang', 'langsung', 'gercep', 'menghubungi', 'teknisi', 'ketika', 'ada', 'permasalahan', 'di', 'ac']","['senang', 'menginap', 'disini', 'makanannya', 'enak', 'enak', 'ruangannya', 'luas', 'awalnya', 'check', 'in', 'air', 'ac', 'sedikit', 'tim', 'gercep', 'membetulkan', 'semuanya', 'sangat', 'ramah', 'terutama', 'mbak', 'devita', 'satunya', 'mas', 'siapa', 'kemarin', 'malam', 'langsung', 'gercep', 'menghubungi', 'teknisi', 'permasalahan', 'ac']"
"['tempatnya', 'nyaman', 'staffnya', 'baik']","['tempatnya', 'nyaman', 'staffnya', 'baik']"
"['untuk', 'sarapan', 'paginya', 'sangat', 'enak', 'banyak', 'menunya', 'dan', 'layanan', 'atas', 'nama', 'fifin', 'sangat', 'bagus', 'semuanya', 'memuaskan']","['sarapan', 'paginya', 'sangat', 'enak', 'banyak', 'menunya', 'layanan', 'atas', 'nama', 'fifin', 'sangat', 'bagus', 'semuanya', 'memuaskan']"
