stemmed_tokens,clean_sangat
"['layan', 'ramah', 'sangat', 'fasilitas', 'kamar', 'libur', 'lokasi', 'dekat', 'banyak', 'tempat', 'wisata']",['ramah']
"['baru', 'kali', 'sangat', 'kecewa', 'layan', 'hotel', 'kota', 'mana', 'baru', 'kali', 'sangat', 'kecewa', 'minta', 'kunci', 'kamar', 'punya', 'suami', 'titip', 'susah', 'minta', 'tunggu', 'lama', 'curiga', 'sama', 'pihak', 'terlalu', 'buat', 'emosi']","['kecewa', 'kecewa', 'titip']"
"['libur', 'senang', 'hotel', 'luar', 'biasa']",['senang']
"['lokasi', 'mantap', 'dekat', 'bandara', 'tempat', 'tempat', 'wisata', 'kamar', 'sendiri', 'nyaman', 'fasilitas', 'lengkap', 'layan', 'baik', 'staf', 'ramah', 'ramah']","['nyaman', 'baik', 'ramah', 'ramah']"
"['rekomendasi', 'inap', 'hotel', 'layan', 'bagus', 'ramah', 'makan', 'enak', 'sedang', 'susu', 'sangat', 'apresiasi', 'atas', 'layan', 'simpan', 'bagi', 'resepsionis']","['bagus', 'ramah', 'enak', 'apresiasi']"
"['menu', 'lengkap', 'layan', 'sangat']",[]
"['sarap', 'lengkap', 'enak', 'layan', 'bagus', 'mbak']","['enak', 'bagus']"
"['layan', 'tempat', 'nyaman', 'sekali']",['nyaman']
"['menu', 'variatif', 'enak', 'pilih', 'banyak']",['enak']
"['ramah', 'tutup', 'kurang', 'kamar', 'gelap', 'gambar', 'semut', 'kurang', 'mesti']","['ramah', 'semut']"
"['kamar', 'bersih', 'aman', 'nyaman', 'jadi', 'rekomendasi', 'buat', 'sama', 'istri', 'ramah']","['bersih', 'nyaman', 'ramah']"
"['kamar', 'suasana', 'nyaman', 'bersih', 'bakal', 'sini', 'sarap', 'enak', 'enak', 'bingung']","['nyaman', 'bersih', 'enak', 'enak']"
